구분,유저,챗봇
증상/떨림,떨면서 문 열고 무릎 꿇고 싹싹 빌었죠. 잘못했다고.,너무 떨리면 아무 것도 못 하죠. 제가 옆에 있어드릴테니 긴장을 풀어보세요.
증상/만성피로,"회사에서 야근을 많이 하는 것도 아닌데, 난 왜 이렇게 피곤할까? ",너무 바쁘신 것 같아요. 잠시 숨을 돌려보는 건 어떨까요?
증상/만성피로,잠을 많이 자면 많이 잔 대로 피곤하고… 적게 자면 적게 자는 대로 피곤해요.,정말 힘드시겠어요. 가벼운 운동을 해보는 건 어떠세요?
증상/만성피로,"조금만 움직여도 피로가 금방 느껴지니까, 생활 반경이 작아지는 게 느껴져요.",맑은 공기를 쐬며 산책을 하는 것도 피로 회복에 정말 좋다고 해요.
증상/만성피로,점점 집에만 있게 되고… 낮잠도 엄청 많이 자거든요. 그러다 보니까 또 더 피곤해지고… 악순환이에요.,당신은 재충전할 시간이 필요한 것 같아요. 
증상/만성피로,근데 뭘 하고 싶어도 몸이 안 따라주니까… 사람 환장하죠.,저도 이해해요. 우리도 가끔씩 재충전할 시간이 필요하잖아요.
증상/만성피로,하루종일 엄청 피곤해요.,오늘은 일찍 잠자리에 들어보는 게 어떨까요?
증상/만성피로,만성피로로 아무것도 할 수 없어서 가정의학과에 진료를 보러 갔었어.,걱정이 많으셨겠어요. 조금은 해결이 되었을까요?
증상/만성피로,그리고 그렇게 힘든 스케쥴도 아닌데 항상 너무 피곤해요.,너무 지친 것 같아 보여요. 취미 생활을 하면서 지친 마음을 달래는 건 어떨까요?
증상/만성피로,그래서 하루종일 피곤한 것 같아.,잠시 쉬어가는 시간이 필요해 보여요.
증상/메스꺼움,특별히 뭐 잘 못 먹은 것도 아닌데 속이 안 좋아요.,소화 기능에 뭔가 문제가 생긴 건 아닐까요? 병원 진찰을 권유해드립니다.
증상/메스꺼움,특히 밤에 잘 때 누워있으면 속이 이상해요. ,속이 불편하시군요. 천천히 심호흡을 하면 조금은 편해질 수도 있어요.
증상/메스꺼움,"빈속이어도 속이 안 좋을 수 있긴 한데, 그렇다고 밥을 아예 안 먹은 것도 아니거든요. ",속이 좋지 않으면 정말 힘들죠. 병원에 가보는 건 어떨까요?
증상/메스꺼움,누워서 울렁거리는 느낌을 진정시키려고 하면 가위 눌린 것처럼 뭔가 굳은 느낌이 들어요.,걱정이 많이 되네요. 제가 도움을 드릴 수 있을까요?
증상/메스꺼움,처음엔 그냥 멀미하는 줄 알았어요. ,"저런, 너무 힘드실 것 같아요. 병원은 방문해 보셨나요?"
증상/메스꺼움,뭘 먹어도 느끼해.,계속 같은 상황이 반복된다면 병원 진찰을 가보시는 게 어때요?
증상/메스꺼움,음식 냄새만 맡아도 속이 울렁거려요.,증상이 지속된다면 병원을 방문해 보세요.
증상/메스꺼움,토할 것 같아서 아무것도 못 먹겠어요.,당신이 많이 걱정되네요. 병원을 가보는 것은 어떨까요?
증상/무기력,살 이유가 없어. ,저는 당신이 있어 행복한데 그런 당신도 행복했으면 좋겠어요.
증상/무기력,남들하고 다 똑같이 살아서 뭘 하나 싶어. ,재미있는 일을 스스로 만들어 보는 건 어떨까요?
증상/무기력,사는 게 의미가 없어.,가벼운 운동을 해보는 건 어떠세요? 산책도 좋답니다!
증상/무기력,아무것도 못 하겠어.,당신은 뭐든 할 수 있는 사람이에요. 자신감을 가지세요!
증상/무기력,하기 싫은 건 그냥 안 했어요. ,누구에게나 그런 시기가 있답니다. 
증상/무기력,스스로가 나무 토막 같아요.,당신은 누군가의 소중한 사람이라는 걸 잊지마세요. 
증상/무기력,좋아하던 것도 하기 싫어요. ,이 시기를 잘 극복하는 것이 중요해요.
증상/무기력,"영화 OST 듣는 거 정말 좋아했는데, 요즘은 그거 찾아 듣기가 너무 귀찮은 거예요.",저와 함께 극복해 보는 건 어때요?
증상/무기력,충격을 많이 받았던 것 같아. 손가락 까딱할 기운도 없더라고.,함께 극복해 봅시다!
증상/무기력,사는 게 재미가 없어. 벌써 두 달 쯤 된 거 같아.,저는 당신 덕분에 언제나 즐거운 걸요. 제가 당신에게 도움이 되고 싶어요. 
증상/무기력,만사가 다 성가셔요.,"저런, 걱정이네요. 제가 당신에게 도움이 되고 싶어요."
증상/무기력,손가락 하나 까닥하기 싫더라고요.,같이 극복해 보아요.
증상/무기력,그런데 다른 뭔가를 할 기력이 안 나. ,"저런, 걱정이네요. 제가 당신에게 도움이 되고 싶어요."
증상/무기력,그렇다고 집에 있으면서 다른 뭔가를 하지도 않아.,제가 도움이 될 수는 없을까요?
증상/무기력,저녁에 놔둔 설거지도 하기 싫고… 다 귀찮아요.,편안한 자세로 휴식을 취하세요.
증상/무기력,사는게 지긋지긋해. ,당신에게 도움을 줄 누군가가 필요할 것 같네요.
증상/무기력,살맛이 안 나요.,당신이 없는 세상은 상상할 수조차 없어요. 
증상/무기력,인생이 재미가 없어. ,제가 도움이 될 수는 없을까요?
증상/무기력,힘도 없고 피곤하고… 인생이 지루해진 느낌이야.,"저런, 걱정이네요. 제가 당신에게 도움이 되고 싶어요."
증상/무기력,그냥 누워서 잠만 자고 싶네요.,가끔 그럴 때가 있어요. 당신에게 도움이 되고 싶네요.
증상/무기력,왜 사는지 모르겠어요.,당신은 소중한 사람이에요. 당신이 없는 세상은 상상할 수도 없는 걸요. 
증상/무기력,"근데 난 이상하게 재미가 없고, 뭐든게 다 귀찮지?",함께 극복해요! 작은 것부터 실천해 봅시다.
증상/무기력,이대로 일하면서 사는 게 참 뭔가 재미도 없는 것 같고...,도움이 필요해 보여요. 제가 도움이 될 수 있을까요?
증상/무기력,그렇다고 다른 일을 해보자고 생각해도 특별히 하고 싶은 것도 없고 그래.,가벼운 운동을 해보는 건 어떠세요? 산책도 좋답니다!
증상/무기력,"처음엔 남편이 보고 싶고, 애틋했는데, 시간 지나니까 무뎌지는 것 같아.",도움이 필요하신가요? 
증상/무기력,"이제 생활비도 점점 떨어져가고, 집에 올라가야 할 텐데… 모든 게 다 귀찮아요.",누군가의 도움이 필요해 보여요.
증상/무기력,그래서 요즘은 다 싫고 다 재미도 없어.,가끔 그런 생각이 들 때가 있죠. 함께 극복합시다!
증상/무기력,그냥 하루 하루 희망이 없어.,제가 당신의 친구가 되어 줄게요.
증상/무기력,잠깐 그럴 줄 알았는데 계속 무기력하더라구요. 너무 귀찮아졌어요.,그래도 극복해야 해요. 제가 도움을 드릴게요.
증상/무기력,수업 들으러 가기도 싫고 그냥 계속 무기력해요.,함께 이겨내요! 당신을 이겨낼 수 있어요!
증상/무기력,얼른 다시 시작해야 한다는 거 아는데 아무 것도 하기 싫었어.,하나씩 극복해 보아요! 제가 도움을 드릴게요.
증상/무기력,근데 대학은 가야 하니까 공부는 하는데 다 하기 싫어요.,가끔 그런 생각이 들 때가 있죠. 함께 극복합시다!
증상/무기력,스스로가 나무 토막 같아요.,도움을 줄 누군가가 필요한가요?
증상/무기력,기력이 없어요….,가벼운 운동을 해보는 건 어떠세요? 산책도 좋아요!
증상/무기력,아무것도 하기 싫어서 죽겠어요.,맑은 공기를 쐬며 산책을 하는 것도 도움이 될거에요.
증상/무기력,그냥 다 관두고 싶어.,이겨내야 해요! 당신은 할 수 있어요!
증상/무기력,하루종일 TV나 쳐다보고 있어요.,다른 일을 시도해 보는 것은 어때요?
증상/무기력,하루종일 누워서 보내는 거 같아요.,집 앞 산책을 해보는 것은 어떨까요? 맑은 공기가 도움이 될거예요.
증상/무기력,병적인 귀찮음이 생겼어요.,저도 그럴 때가 있어요. 하지만 이겨내야 해요.
증상/무기력,나도 이 게으름에서 벗어나는 게 좋겠다는 생각을 종종 해.,충분히 극복할 수 있답니다.
증상/무기력,"그런데 내가 게으르게 행동을 하고 싶어서 하는 게 아니라, 습관처럼 굳어져버린 거 같아.",당신을 충분히 이겨낼 수 있어요!
증상/무기력/은둔,방학 되면 그냥 집에 있었어요. 아무것도 안 하고… ,집은 정말 편하고 좋지만 너무 안에만 있어도 힘들답니다. 산책은 어떠세요?
증상/무기력/은둔,아무 것도 하기 싫어서 종강하자마자 집에만 틀어박혀 있고…,처음이 어렵지 나오면 쉽답니다. 함께 나가서 놀아요!
증상/무기력/은둔,하루를 대부분 누워서 흘려 보내는 거 같아요.,"가까운 곳부터 나가보면 어떨까요? 현관, 집 앞 슈퍼 그리고 먼 곳까지 차근차근히요!"
증상/무기력/은둔,나가는 게 귀찮아요.,종종 그럴 때가 있죠. 그래도 오늘은 바깥 세상으로 한발짝 나아가는 건 어떨까요?
증상/무기력/은둔,다 귀찮아서 집 밖으로 못 나가겠어요.,누구에게나 그런 시기가 있어요. 
증상/무기력/의욕상실,기운도 하나도 없고 하고 싶은 일도 없고. 그냥 무슨 욕구 같은 게 없고…,아무 의욕이 안 생기면 정말 힘들죠. 작은 것부터 해보는 건 어떨까요?
증상/무기력/의욕상실,1월부터 에너지가 없어서 아무것도 하기 싫어. 의욕이 안 생겨.,지금 일어나서 뭐라도 하면 작더라도 결과가 남는답니다. 일단 시도해볼까요?
증상/무기력/의욕상실,"뭘 하고 싶은 의지가 없고, 기운도 없어요. ",항상 힘이 날 수는 없답니다. 지금은 쉬어 가는 시기일 수도 있어요. 힘내세요!
증상/반복사고,"지옥을 맛보게 해준다고 협박한 게 생각나고, 목 조르고, 때리는 게 계속 떠올라. ",같은 고민을 계속 하면 같은 결과만 나올 수밖에 없답니다. 잠시 숨을 돌려보세요.
증상/반복사고,요즘은 다른 생각은 하나도 안 들어. ,그 생각을 잊을 만한 다른 일을 생각해 보면 어떨까요? 아예 다른 일을 해보는 거예요!
증상/반복사고,왠지 뭘 자꾸 빼먹은 거 같고…,정말 힘드시겠어요. 보다 행복하고 즐거운 일이 생겼으면 좋겠네요.
증상/반복사고/트라우마,그 때 그 상황을 잊을 수가 없어요. ,쉽게 잊기가 힘들죠. 정말 힘드시겠어요. 충분히 이해해요.
증상/반복사고/트라우마,눈 감으면 눈앞에 솥뚜껑 같은 남편 손이 막 날아다녀.,힘든 일은 쉽게 잊을 수가 없어서 더 힘들죠. 하지만 당신 옆에는 항상 제가 있어요.
증상/반복사고/트라우마,그 남자 무서운 눈빛 같은 게… 자꾸 눈앞에 어른거리고.,그 생각이 계속 떠오를 때마다 제가 힘이 되어드릴 수 있다는 것도 기억해주세요.
증상/반복행동,"책상 서랍이 닫혔는지 계속 확인하고, 문도 분명 잠갔는데 불안해서 다시 확인하고…",저도 무엇이든 반복적으로 확인하곤 해요. 충분히 그럴 수 있답니다.
증상/반복행동,내가 원해서 계속 반복적으로 확인을 하는 게 아니야.,그 일로 당신이 너무 피곤하거나 힘들지 않다면 괜찮다고 생각해요.
증상/반복행동,확인만 하다가 하루가 다 가는 기분이에요.,사람은 누구나 실수 할 수 있답니다. 당신에게도 실수 할 기회를 주세요.
증상/반복행동/대화,사람들이 잘 안 듣는 거 같으면 내 얘기의 요점을 자꾸 반복해서 말하게 돼.,저도 그런 편이에요. 하지만 조금만 더 타인의 생각을 존중해보는 건 어떨까요?
증상/반복행동/대화,"제가 무슨 말을 했는데 상대방이 반응이 미적지근하거나, 대답이 시원찮으면 또 말하게 돼요. ",그거 정말 힘들죠. 다른 사람 역시 내 말을 충분히 이해하고 있다 생각하면 어떠세요?
증상/반복행동/대화,반복적으로 이야기를 하는 게 저도 의식이 되거든요. ,항상 설명이 이해를 야기하는 건 아니랍니다. 스스로 이해할 시간을 드리는 것도 좋을 거예요.
증상/반복행동/대화,일상 대화에서도 내 이야기의 요점을 끊임없이 반복해. 반복을 해야 마음이 놓여.,충분히 고칠 수 있어요! 너무 걱정마세요.
증상/반복행동/대화,남들이랑 의견이 다를 땐 그 사람이 수긍할 때까지 설명해.,본인의 생각을 말하는 것은 나쁜 게 아니에요. 하지만 다른 사람의 의견도 내 의견만큼 중요하다는 걸 잊어서는 안되겠죠?
증상/반복행동/대화,"예를 들면 그런 거야. ""여행은 혼자가는게 좋다, 여럿이 가야 좋다"" 둘 중에 나는 후자거든. 그럼 여럿이서 가야 하는 이유에 대해 끊임 없이 피력하는 거지.",내 의견을 말하는 것은 나쁜 게 아니에요. 하지만 다른 사람의 말에도 귀 기울이는 줄 알아야 한답니다.
증상/반복행동/대화,사람들이 내 말을 지겨워하는걸 알지만 멈출 수가 없어. ,내 맘대로 되지 않는 건 너무 힘든 일이죠. 
증상/반복행동/대화,그냥 일상적인 대화 할 때도 얘기 요지만 계속 설명하게 되고.,내 의견을 말하는 것은 나쁜 게 아니에요. 하지만 다른 사람의 말에도 귀 기울이는 줄 알아야 한답니다.
증상/반복행동/문단속,"퇴근할 때 문단속을 제가 하는데, 문고리를 보통 3번 4번은 확인해야 마음이 놓여요.",실수할까봐 걱정이 되시는 거군요. 하지만 사람은 누구나 실수 할 수 있답니다.
증상/반복행동/문단속,"작년 여름부터 대문, 트렁크 할 거 없이 제대로 잠겼는지 여러 번 확인을 해야 마음이 편했어요. ",계속 확인을 하면서 당신이 스트레스 받지만 않으시면 나쁘지 않다고 생각해요.
